split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
family_heldout_zinc_finger,kmer_logreg,True,0.2,300.0,0.08666666666666667,0.0799491645061951,0.027214057172280516,0.5175463222908478,0.09606517612009553
family_heldout_zinc_finger,kmer_metadata_logreg,False,1.0,1500.0,0.19133333333333333,0.2270323511321835,0.21264473692739427,0.6856068548908314,0.34658481319824463
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.8,1200.0,0.1775,0.2201707781321134,0.2069932034665153,0.6945645504231059,0.3522731142590052
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.6,900.0,0.16444444444444445,0.1904088799334755,0.18361351423775457,0.6965928694652097,0.3558471288608866
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.4,600.0,0.14833333333333334,0.1605311246932287,0.15871792158794512,0.6883396732557883,0.349342955143533
family_heldout_zinc_finger,kmer_metadata_logreg,False,0.2,300.0,0.12666666666666668,0.1398857687274033,0.13959813261104909,0.6753716351948573,0.3412729540641543
family_heldout_zinc_finger,kmer_metadata_logreg,True,1.0,1500.0,0.19133333333333333,0.1446402568989663,0.028844472862887414,0.6856068548908314,0.34658481319824463
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.8,1200.0,0.15083333333333335,0.12463648439392425,0.027245500730907816,0.6403743243023439,0.26632899963825063
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.6,900.0,0.11666666666666667,0.10286384599623424,0.014971307471257788,0.5727343516022761,0.14427910148790046
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.4,600.0,0.09333333333333334,0.08573152137058211,0.021430023251792257,0.49402573529411764,0.08699480535855308
family_heldout_zinc_finger,kmer_metadata_logreg,True,0.2,300.0,0.09,0.08303199973336538,0.035564301438332155,0.5350698684032017,0.10543939745880249
